"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.lineate.school.SearchBenchmark.hashSet:stalled-cycles-frontend","avgt",1,1,24.792802,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet","avgt",1,5,30.876029,0.440250,"ns/op",1000
"com.lineate.school.SearchBenchmark.hashSet:CPI","avgt",1,1,0.534941,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-load-misses","avgt",1,1,1.490078,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-loads","avgt",1,1,30.002918,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-store-misses","avgt",1,1,0.229105,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-stores","avgt",1,1,11.440980,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:L1-icache-load-misses","avgt",1,1,0.006966,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:LLC-load-misses","avgt",1,1,0.016437,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:LLC-loads","avgt",1,1,0.036624,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:LLC-store-misses","avgt",1,1,0.009225,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:LLC-stores","avgt",1,1,0.009999,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:branch-misses","avgt",1,1,0.146901,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:branches","avgt",1,1,22.626612,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:cycles","avgt",1,1,68.507580,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:dTLB-loads","avgt",1,1,29.657174,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:dTLB-store-misses","avgt",1,1,0.000089,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:dTLB-stores","avgt",1,1,11.546861,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:iTLB-load-misses","avgt",1,1,0.000383,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:iTLB-loads","avgt",1,1,0.000443,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:instructions","avgt",1,1,128.065705,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet:stalled-cycles-frontend","avgt",1,1,29.410991,NaN,"#/op",1000
"com.lineate.school.SearchBenchmark.hashSet","avgt",1,5,42.041576,0.184452,"ns/op",10000
"com.lineate.school.SearchBenchmark.hashSet:CPI","avgt",1,1,0.721527,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-load-misses","avgt",1,1,3.111713,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-loads","avgt",1,1,29.675761,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-store-misses","avgt",1,1,0.266934,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-stores","avgt",1,1,12.468052,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:L1-icache-load-misses","avgt",1,1,0.028757,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:LLC-load-misses","avgt",1,1,0.252812,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:LLC-loads","avgt",1,1,1.899224,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:LLC-store-misses","avgt",1,1,0.000496,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:LLC-stores","avgt",1,1,0.003130,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:branch-misses","avgt",1,1,0.019404,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:branches","avgt",1,1,21.810720,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:cycles","avgt",1,1,89.123008,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:dTLB-loads","avgt",1,1,30.303506,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:dTLB-store-misses","avgt",1,1,0.000177,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:dTLB-stores","avgt",1,1,12.109763,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:iTLB-load-misses","avgt",1,1,0.000231,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:iTLB-loads","avgt",1,1,0.000114,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:instructions","avgt",1,1,123.520005,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet:stalled-cycles-frontend","avgt",1,1,55.218981,NaN,"#/op",10000
"com.lineate.school.SearchBenchmark.hashSet","avgt",1,5,55.886273,15.364770,"ns/op",100000
